夜航星(00:02:34): And. 
夜航星(01:05:11): 这有个产品类型。根据来的。

张凯(01:05:14): 对是。

夜航星(01:05:16): 是真的。

张凯(01:05:18): 对。很 nice。

夜航星(01:05:29): 那你配。

张凯(01:05:31): 他还有配置！我明白，我另一个，我家居产品里面设置了乳酸菌单次，然后乳酸菌三盒的套餐，它两个 sku 可以分别配置？

夜航星(01:05:48): 对。

张凯(01:05:50): 就是乳酸菌。这里没有？那里没有。这边你可以配置？对，挺好的。

夜航星(01:06:05): 然后提货的时候他也是按照一套销掉的。库存不够，那就一套都销不掉。

张凯(01:06:19): 它是一套消掉的。

夜航星(01:06:21): 根据商品 sq 它的配置销的。

张凯(01:06:28): 比如说商品的 sq 里面它一套有55支，它就必须一次性把5支全部领取，他不能说5g 里面单款的去领取。

夜航星(01:06:34): 对。不跟了。那做的太细了，做不了那么细的。

张凯(01:06:43): 商品是拿了货没拿。但在。这边是？产品。产品的部分，那出库的时候出库展示的提就是提货展示的页面是展示销售商品还是展示库存商品？

夜航星(01:07:16): 销售商品。

张凯(01:07:18): 销售商品，其实它背后隐藏的，它会减掉库存对应的商品，

夜航星(01:07:22): 对。

张凯(01:07:22): 根据表配置表来减。理解了，理解好的，目前没有问题了，就等你弄好，我们就开始测试。

夜航星(01:07:39): 行。

张凯(01:07:42): 小群你这边还有问题吗？

贺东群(01:07:49): 我没有问题！

夜航星(01:07:56): 今天先这样。

张凯(01:07:58): 好好。

夜航星(01:08:01): 300。

张凯(01:08:04): 拜拜。
